# numerator	input_bits	core_math_log_bits
1	3ca0000000000000	c0425e4f7b2737fa
2	3cb0000000000000	c04205966f2b4f12
3	3cb8000000000000	c041d1b02751cfe2
4	3cc0000000000000	c041acdd632f662b
5	3cc4000000000000	c041904d6b67cb90
7	3ccc000000000000	c041653be5b5a527
8	3cd0000000000000	c041542457337d43
15	3cde000000000000	c04103ae17926378
16	3ce0000000000000	c040fb6b4b37945b
17	3ce1000000000000	c040f3a8bf079002
67108863	3e3ffffff8000000	c032b708876320e2
67108864	3e40000000000000	c032b708872320e2
67108865	3e40000004000000	c032b70886e320e2
4503599627370495	3fdffffffffffffe	bfe62e42fefa39f1
4503599627370496	3fe0000000000000	bfe62e42fefa39ef
4503599627370497	3fe0000000000001	bfe62e42fefa39ed
9007199254740989	3feffffffffffffd	bcb8000000000001
9007199254740990	3feffffffffffffe	bcb0000000000001
9007199254740991	3fefffffffffffff	bca0000000000000
9007199254740992	3ff0000000000000	0000000000000000
8031363715860096	3fec887b95588680	bfbd5b0091240dc1
3469980719646670	3fd8a7dbb0580f9c	bfee862526ccda7c
8018604117806253	3fec7ce0c2094cad	bfbdc33414f1e33a
364648824738902	3fa4ba56baa94560	c009a79e2ffab1ea
8696133065399867	3feee51642485e3b	bfa1fe9ec7188427
4376848748439139	3fdf197105c5ccc6	bfe7182079ca92f9
8270717181870969	3fed622c67a9c379	bfb5d669fe6f81a2
7474650915735098	3fea8e27c8a7063a	bfc7df74128122d8
8717165710927626	3feef8374da5e70a	bfa0c1fd534f92da
3225019975090693	3fd6ea46f404840a	bff06ef0b691dbbe
